var,cohort,module,iscategorical,pvalue,std_error,N,coef,var_desc,percmissing,ratiocovdatapoints,unique_val_counts,h,adj_p
BMXCALF,0,7,0,2.75E-05,0.00578278,17964,-0.026755585,Maximal Calf Circumference (cm),0.279186961,0.000556669,332,1,0.000210708
BMXHT,0,7,0,0.016442659,0.006516929,18196,-0.016190645,Standing Height (cm),0.144548392,0.000549571,598,1,0.042062617
BMXLEG,0,7,0,0.01256247,0.008079327,17797,-0.020935991,Upper Leg Length (cm),0.286203405,0.000561892,281,1,0.033520101
BMXSUB,0,7,0,0.000316802,0.007136655,14548,0.027654901,Subscapular Skinfold (mm),0.21208468,0.00068738,371,1,0.001584009
BMXTHICR,0,7,0,5.37E-05,0.004515279,17716,-0.019982762,Thigh Circumference (cm),0.288928003,0.000564462,500,1,0.000376715
BMXTRI,0,7,0,0.003298228,0.005768815,16564,0.017823981,Triceps Skinfold (mm),0.144451946,0.000603719,403,1,0.010377601
BMXWAIST,0,7,0,0.02438941,0.003736841,17883,0.008679688,Waist Circumference (cm),0.170347688,0.00055919,887,0,0.057489323
BMXWT,0,7,0,0.037913349,0.003215756,18214,-0.006860912,Weight (kg),0.074166948,0.000549028,1283,0,0.079690479
BPXPLS,0,6,0,0.362928823,0.010669398,18030,0.009798353,60 sec. pulse (30 sec. pulse * 2):,0.277812605,0.000554631,54,0,0.488842905
CFDFINSH,0,8,0,0.054603558,0.012779294,2296,-0.026175894,Exercises Finished,0.858360312,0.004355401,96,0,0.108549242
CFDRIGHT,0,8,0,0.091293272,0.013566161,2296,-0.024130229,Exercises Correct,0.858360312,0.004355401,96,0,0.168306033
CVDESVO2,0,29,0,0.006318308,0.017572923,3969,-0.051153122,Estimated VO2max (ml/kg/min),0.732570841,0.002519526,1947,1,0.01828984
CVDR1DI,0,29,0,0.283909021,0.024397235,4176,-0.026563189,Recovery 1 diastolic BP (mm Hg),0.720876438,0.002394636,92,0,0.408008999
CVDR1HR,0,29,0,0.708760233,0.018296463,4190,0.00689171,Recovery 1 heart rate (per min),0.720137506,0.002386635,110,0,0.8121211
CVDR1SY,0,29,0,0.862202043,0.017479339,4176,-0.003056992,Recovery 1 systolic BP (mm Hg),0.720876438,0.002394636,158,0,0.920798299
CVDR2DI,0,29,0,0.244799863,0.021924061,4315,-0.02594826,Recovery 2 diastolic BP (mm Hg),0.713615627,0.002317497,81,0,0.3705686
CVDR2HR,0,29,0,0.118714575,0.019690054,4322,0.03151618,Recovery 2 heart rate (per min),0.713230097,0.002313744,105,0,0.206188472
CVDR2SY,0,29,0,0.578445181,0.019009122,4315,0.010664998,Recovery 2 systolic BP (mm Hg),0.713615627,0.002317497,151,0,0.691619238
CVDS1DI,0,29,0,0.958645355,0.02015166,3839,-0.001052668,Stage 1 diastolic BP (mm Hg),0.742562488,0.002604845,80,0,0.970048019
CVDS1HR,0,29,0,0.208893233,0.01666574,4476,0.021347346,Stage 1 heart rate (per min),0.705519501,0.002234138,90,0,0.325163995
CVDS1SY,0,29,0,0.182308761,0.019083305,3839,-0.025982027,Stage 1 systolic BP (mm Hg),0.742562488,0.002604845,159,0,0.290637155
CVDS2DI,0,29,0,0.956943989,0.019594285,3495,-0.001065703,Stage 2 diastolic BP (mm Hg),0.760746643,0.00286123,82,0,0.970048019
CVDS2HR,0,29,0,0.340654949,0.015846218,4029,0.015314213,Stage 2 heart rate (per min),0.729293838,0.002482005,98,0,0.466456984
CVDS2SY,0,29,0,0.260455093,0.021358344,3495,-0.024442256,Stage 2 systolic BP (mm Hg),0.760746643,0.00286123,168,0,0.384371665
CVDVOMAX,0,29,0,8.94E-06,0.006597825,4861,-0.034430995,Predicted VO2max (ml/kg/min),0.682355587,0.00205719,2737,1,7.76E-05
DXDTOBMD,0,7,0,2.04E-06,0.007316927,16479,-0.039402171,Total BMD (g/cm^2),0.342744852,0.000606833,2309,1,2.04E-05
DXDTOFAT,0,7,0,6.07E-05,0.003186852,16479,0.013984004,Total Fat (g),0.342744852,0.000606833,16203,1,0.000409015
DXDTOLE,0,7,0,1.82E-07,0.003818843,16479,-0.023183359,Total Lean excl BMC (g),0.342744852,0.000606833,16241,1,2.40E-06
DXDTRLE,0,7,0,0.000199439,0.004102385,16479,-0.016497214,Trunk Lean excl BMC (g),0.342744852,0.000606833,15968,1,0.001096914
DXXHEBMD,0,7,0,0.007352037,0.009228557,16479,-0.025811396,Head BMD (g/cm^2),0.342744852,0.000606833,2879,1,0.020915278
DXXLSBMD,0,7,0,0.015404364,0.008455363,16479,-0.021227591,Lumber Spine BMD (g/cm^2),0.342744852,0.000606833,2249,1,0.040027087
DXXPEBMD,0,7,0,0.016361991,0.007596778,16479,-0.018888439,Lumber Pelvis BMD (g/cm^2),0.342744852,0.000606833,2602,1,0.042062617
DXXTRFAT,0,7,0,5.68E-08,0.004042828,16479,0.025866207,Trunk Fat (g),0.342744852,0.000606833,15954,1,8.93E-07
LBD199,0,23,0,0.42996693,0.015731012,2814,0.012672377,PCB199 (ng/g),0.803742734,0.00355366,892,0,0.549957701
LBDEONO,0,5,0,0.036291501,0.00988155,17696,0.021272203,Eosinophils number,0.189757438,0.000565099,28,0,0.078268105
LBDHDD,0,4,0,1.05E-06,0.014354021,9071,-0.099061343,Direct HDL-Cholesterol (mg/dL),0.260723009,0.001102414,116,1,1.12E-05
LBDHDL,0,4,0,1.81E-10,0.010452083,12965,-0.093629787,Direct HDL-Cholesterol (mg/dL),0.245518216,0.000771307,114,1,4.58E-09
LBDLDL,0,4,0,0.120445474,0.012342192,8081,0.019505824,LDL-cholesterol (mg/dL),0.675507547,0.001237471,229,0,0.20809951
LBDLYMNO,0,5,0,0.001437447,0.009757901,17696,0.032964587,Lymphocyte number,0.189757438,0.000565099,85,1,0.005329859
LBDMONO,0,5,0,0.961229401,0.010738568,17696,0.000524688,Monocyte number,0.189757438,0.000565099,26,0,0.970048019
LBDNENO,0,5,0,0.0019953,0.008138278,17696,0.026578739,Segmented neutrophils num (1000 cell/uL),0.189757438,0.000565099,148,1,0.007017229
LBDPCT,0,4,0,0.006674836,0.010625784,11836,-0.03010367,Transferrin saturation (%),0.454983845,0.00084488,660,1,0.019153877
LBX028,0,23,0,0.158062968,0.023458729,2398,-0.034472497,PCB28 (ng/g),0.815054513,0.004170142,598,0,0.260803897
LBX052,0,23,0,0.953141391,0.03079541,3650,-0.001823011,PCB52 (ng/g),0.828246482,0.002739726,477,0,0.970048019
LBX066,0,23,0,0.411869014,0.023275114,3990,-0.019337548,PCB66 (ng/g),0.804697038,0.002506266,374,0,0.53300696
LBX074,0,23,0,0.262440906,0.015900579,4012,-0.018119419,PCB74 (ng/g),0.803090664,0.002492522,999,0,0.384371665
LBX087,0,23,0,0.938340225,0.023546999,2836,-0.001844548,PCB87 (ng/g),0.801994235,0.003526093,220,0,0.958675771
LBX099,0,23,0,0.002226432,0.011756422,3966,-0.038892581,PCB99 (ng/g),0.805468097,0.002521432,858,1,0.007586904
LBX101,0,23,0,0.037352156,0.017413253,4015,-0.037730404,PCB101 (ng/g),0.802962154,0.00249066,403,0,0.079014177
LBX105,0,23,0,0.063533301,0.014292247,3990,-0.027413425,PCB105 (ng/g),0.803990233,0.002506266,471,0,0.124797556
LBX110,0,23,0,0.837266486,0.021333728,2827,-0.004439243,PCB110 (ng/g),0.802466802,0.003537319,288,0,0.908088742
LBX118,0,23,0,0.008739813,0.012391901,4005,-0.034480577,PCB118 (ng/g),0.803379811,0.002496879,1125,1,0.024034485
LBX128,0,23,0,0.449511843,0.01894244,3997,-0.014492171,PCB128 (ng/g),0.803958106,0.002501876,126,0,0.564026267
LBX138,0,23,0,0.24741278,0.014544116,4008,-0.017116837,PCB138 & 158 (ng/g),0.803411939,0.00249501,1605,0,0.372813778
LBX146,0,23,0,0.007664787,0.01311776,4004,-0.037185865,PCB146 (ng/g),0.803508321,0.002497502,737,1,0.021618629
LBX149,0,23,0,0.679401678,0.026940399,2831,0.011298528,PCB149 (ng/g),0.802466802,0.003532321,173,0,0.789445612
LBX151,0,23,0,0.871829689,0.026929044,2830,0.00440068,PCB151 (ng/g),0.802608572,0.003533569,135,0,0.928076766
LBX153,0,23,0,0.168216168,0.014456737,4013,-0.020354751,PCB153 (ng/g),0.803122791,0.002491901,1828,0,0.27211439
LBX156,0,23,0,0.931406995,0.017401718,3985,-0.001508984,PCB156 (ng/g),0.804568528,0.00250941,813,0,0.95752121
LBX157,0,23,0,0.207487777,0.016184697,3970,-0.020796858,PCB157 (ng/g),0.805660862,0.002518892,338,0,0.324506949
LBX167,0,23,0,0.035439546,0.016952759,3972,-0.037135597,PCB167 (ng/g),0.804986185,0.002517623,360,0,0.07694112
LBX170,0,23,0,0.921231021,0.015731942,3909,0.001567217,PCB170 (ng/g),0.807652766,0.002558199,1143,0,0.950019491
LBX172,0,23,0,0.142165432,0.014903306,3950,-0.022394219,PCB172 (ng/g),0.807941914,0.002531646,400,0,0.239360166
LBX177,0,23,0,0.187552223,0.01574843,3955,-0.021180483,PCB177 (ng/g),0.805885755,0.002528445,509,0,0.297558816
LBX178,0,23,0,0.558801777,0.016331077,4006,-0.009642481,PCB178 (ng/g),0.803444066,0.002496256,480,0,0.67300944
LBX180,0,23,0,0.851128249,0.015056454,4009,-0.002847379,PCB180 (ng/g),0.803315556,0.002494388,1672,0,0.914232372
LBX183,0,23,0,0.1479073,0.013191621,4010,-0.019532207,PCB183 (ng/g),0.803379811,0.002493766,563,0,0.246512167
LBX187,0,23,0,0.242718789,0.01292638,4013,-0.015368099,PCB187 (ng/g),0.803187046,0.002491901,1038,0,0.369111522
LBX189,0,23,0,0.444724051,0.026638781,2791,0.020769004,PCB189 (ng/g),0.805538491,0.003582945,154,0,0.561737362
LBX194,0,23,0,0.373820074,0.018700032,2787,0.017011199,PCB194 (ng/g),0.805585747,0.003588088,892,0,0.495424194
LBX195,0,23,0,0.459031146,0.027331392,2756,0.020635997,PCB195 (ng/g),0.808610179,0.003628447,354,0,0.571623691
LBX196,0,23,0,0.625002441,0.018102068,2833,0.008986429,PCB196 & 203 (ng/g),0.802608572,0.003529827,796,0,0.733988632
LBX206,0,23,0,0.263236352,0.024158818,2760,0.02781109,PCB206 (ng/g),0.80742876,0.003623188,696,0,0.384371665
LBX2DF,0,40,0,0.261650209,0.035173081,3370,0.040691894,"Blood 2,5-Dimethylfuran (ng/mL)",0.785832926,0.002967359,158,0,0.384371665
LBXACR_lab_detectable,0,-1,0,7.24E-05,0.016288988,8660,0.081078252,Acrylamide (pmoL/G Hb),0.272545188,0.001154734,1112,1,0.000462956
LBXALC,0,21,0,2.38E-16,0.015047816,13663,-0.217926464,Alpha-carotene (ug/dL),0.274080421,0.000731904,1326,1,2.62E-14
LBXALD,0,25,0,0.508668606,0.021472467,2868,-0.014450321,Aldrin (ng/g),0.800529276,0.00348675,154,0,0.628691535
LBXB12,0,21,0,1.04E-12,0.011116061,17541,-0.105721439,Vitamin B12 ( pg/mL),0.222886628,0.000570093,1395,1,4.27E-11
LBXBAP,0,4,0,0.000665514,0.010013884,10999,0.037515984,Bone alkaline phosphotase (ug/L),0.394911007,0.000909174,464,1,0.002815635
LBXBAPCT,0,5,0,0.477638292,0.01038256,17696,0.007429699,Basophils percent (%),0.189733327,0.000565099,67,0,0.592558783
LBXBEC,0,21,0,8.18E-15,0.013988571,13670,-0.179779259,trans-Beta carotene (ug/dL),0.273858263,0.000731529,3006,1,5.40E-13
LBXBHC,0,25,0,0.018827654,0.014892283,4038,-0.036736749,Beta-hexachlorocyclohexane (ng/g),0.802640879,0.002476474,1705,1,0.047428441
LBXCBC,0,21,0,3.48E-15,0.013236488,13271,-0.175168899,cis-Beta carotene (ug/dL),0.294074709,0.000753523,546,1,2.87E-13
LBXCPSI,0,4,0,8.68E-05,0.013671144,6392,0.060881645,C-peptide: SI(nmol/L),0.694756795,0.001564456,1614,1,0.000540511
LBXCRP,0,4,0,0.036525115,0.008697719,17635,0.018699307,C-reactive protein(mg/dL),0.22049959,0.000567054,502,0,0.078268105
LBXCRY,0,21,0,1.51E-20,0.010831054,13603,-0.2137616,b-Cryptoxanthin (ug/dL),0.277031959,0.000735132,2087,1,2.48E-18
LBXD01,0,12,0,0.901732408,0.015633598,3572,-0.001944795,"1,2,3,7,8-pncdd (fg/g)",0.838430894,0.002799552,1189,0,0.944672047
LBXD02,0,12,0,0.035383935,0.017130442,2398,0.038655792,"1,2,3,4,7,8-hxcdd (fg/g)",0.853504088,0.004170142,894,0,0.07694112
LBXD03,0,12,0,0.124083089,0.017780099,3550,0.0280371,"1,2,3,6,7,8-hxcdd (fg/g)",0.839683866,0.002816901,2573,0,0.213267809
LBXD04,0,12,0,0.067835593,0.016204981,3542,0.030565612,"1,2,3,7,8,9-hxcdd (fg/g)",0.840101523,0.002823264,1242,0,0.132460034
LBXD05,0,12,0,0.510956014,0.020759234,3537,-0.013791105,"1,2,3,4,6,7,8-hpcdd (fg/g)",0.839748121,0.002827255,2709,0,0.629162257
LBXD07,0,12,0,0.190412869,0.018366133,3495,0.024537742,"1,2,3,4,6,7,8,9-ocdd (fg/g)",0.841193857,0.00286123,3277,0,0.299220223
LBXDIE,0,25,0,0.025498677,0.02736528,2809,-0.066053218,Dieldrin (ng/g),0.805727518,0.003559986,810,0,0.05925749
LBXEND,0,25,0,0.371550224,0.027379035,2736,-0.025027353,Endrin (ng/g),0.810405935,0.003654971,149,0,0.495424194
LBXEOPCT,0,5,0,0.093842833,0.0094413,17696,0.016131925,Eosinophils percent (%),0.189733327,0.000565099,189,0,0.172045195
LBXEPAH,0,31,0,0.030816526,0.028453103,3986,0.064107532,2-(N-ethyl-PFOSA) acetate,0.809265648,0.002508781,45,0,0.070134163
LBXEPP,0,4,0,0.104877506,0.007553539,11438,-0.012480363,Protoporphyrin (ug/dL RBC),0.459396248,0.000874279,264,0,0.186072994
LBXF01,0,15,0,0.445985421,0.022721919,3543,-0.017520414,"2,3,7,8-tcdf (fg/g)",0.839362591,0.002822467,415,0,0.561737362
