var,cohort,module,iscategorical,pvalue,std_error,N,coef,var_desc,percmissing,ratiocovdatapoints,unique_val_counts,h,adj_p
BMXCALF,0,7,0,0.009651259,0.005089872,17964,-0.01371005,Maximal Calf Circumference (cm),0.279186961,0.000556669,332,1,0.038372474
BMXHT,0,7,0,0.47570357,0.007482067,18196,-0.005377798,Standing Height (cm),0.144548392,0.000549571,598,0,0.648686686
BMXLEG,0,7,0,0.674573636,0.008086216,17797,0.003415698,Upper Leg Length (cm),0.286203405,0.000561892,281,0,0.797882795
BMXSUB,0,7,0,0.805325096,0.006974066,14548,0.00172817,Subscapular Skinfold (mm),0.21208468,0.00068738,371,0,0.916404419
BMXTHICR,0,7,0,0.005966592,0.003997521,17716,-0.011491854,Thigh Circumference (cm),0.288928003,0.000564462,500,1,0.02812822
BMXTRI,0,7,0,0.610561555,0.006216469,16564,0.003186318,Triceps Skinfold (mm),0.144451946,0.000603719,403,0,0.74348824
BMXWAIST,0,7,0,0.001355355,0.003709552,17883,0.012605782,Waist Circumference (cm),0.170347688,0.00055919,887,1,0.007986915
BMXWT,0,7,0,0.744391491,0.003712865,18214,-0.001217413,Weight (kg),0.074166948,0.000549028,1283,0,0.864408405
BPXPLS,0,6,0,0.957551948,0.009288665,18030,-0.000496933,60 sec. pulse (30 sec. pulse * 2):,0.277812605,0.000554631,54,0,0.987913773
CFDFINSH,0,8,0,0.329477399,0.02207405,2296,0.022092758,Exercises Finished,0.858360312,0.004355401,96,0,0.491979827
CFDRIGHT,0,8,0,0.273065029,0.022390552,2296,0.025272754,Exercises Correct,0.858360312,0.004355401,96,0,0.43115531
CVDESVO2,0,29,0,0.068475484,0.016097419,3969,-0.030288818,Estimated VO2max (ml/kg/min),0.732570841,0.002519526,1947,0,0.160261772
CVDR1DI,0,29,0,0.116449985,0.022565715,4176,-0.036350874,Recovery 1 diastolic BP (mm Hg),0.720876438,0.002394636,92,0,0.237948031
CVDR1HR,0,29,0,0.120278319,0.014916421,4190,-0.02377099,Recovery 1 heart rate (per min),0.720137506,0.002386635,110,0,0.243508252
CVDR1SY,0,29,0,0.097655802,0.018314649,4176,-0.031193593,Recovery 1 systolic BP (mm Hg),0.720876438,0.002394636,158,0,0.208432263
CVDR2DI,0,29,0,0.26755828,0.017904543,4315,-0.020181663,Recovery 2 diastolic BP (mm Hg),0.713615627,0.002317497,81,0,0.428612778
CVDR2HR,0,29,0,0.554673381,0.016732545,4322,-0.009983982,Recovery 2 heart rate (per min),0.713230097,0.002313744,105,0,0.696733917
CVDR2SY,0,29,0,0.245938204,0.018599911,4315,-0.021959863,Recovery 2 systolic BP (mm Hg),0.713615627,0.002317497,151,0,0.407637375
CVDS1DI,0,29,0,0.13210314,0.02195302,3839,-0.033872154,Stage 1 diastolic BP (mm Hg),0.742562488,0.002604845,80,0,0.254935883
CVDS1HR,0,29,0,0.665394671,0.016598232,4476,-0.007241404,Stage 1 heart rate (per min),0.705519501,0.002234138,90,0,0.793604296
CVDS1SY,0,29,0,0.004055118,0.016955223,3839,-0.052263464,Stage 1 systolic BP (mm Hg),0.742562488,0.002604845,159,1,0.019972968
CVDS2DI,0,29,0,0.554852507,0.023450569,3495,-0.013986131,Stage 2 diastolic BP (mm Hg),0.760746643,0.00286123,82,0,0.696733917
CVDS2HR,0,29,0,0.403265031,0.014862241,4029,-0.012578933,Stage 2 heart rate (per min),0.729293838,0.002482005,98,0,0.571147898
CVDS2SY,0,29,0,0.300364987,0.020826612,3495,-0.021902881,Stage 2 systolic BP (mm Hg),0.760746643,0.00286123,168,0,0.463179653
CVDVOMAX,0,29,0,0.001819849,0.006128743,4861,-0.020732055,Predicted VO2max (ml/kg/min),0.682355587,0.00205719,2737,1,0.010354312
DXDTOBMD,0,7,0,0.008862942,0.008716326,16479,-0.023762302,Total BMD (g/cm^2),0.342744852,0.000606833,2309,1,0.037022415
DXDTOFAT,0,7,0,0.001932313,0.003717605,16479,0.012182473,Total Fat (g),0.342744852,0.000606833,16203,1,0.010807854
DXDTOLE,0,7,0,0.000460834,0.004109508,16479,-0.015430365,Total Lean excl BMC (g),0.342744852,0.000606833,16241,1,0.00323564
DXDTRLE,0,7,0,0.013870264,0.004449833,16479,-0.01135719,Trunk Lean excl BMC (g),0.342744852,0.000606833,15968,1,0.049752033
DXXHEBMD,0,7,0,0.108102144,0.009057404,16479,-0.014824195,Head BMD (g/cm^2),0.342744852,0.000606833,2879,0,0.22436294
DXXLSBMD,0,7,0,0.146073003,0.0099245,16479,-0.014658536,Lumber Spine BMD (g/cm^2),0.342744852,0.000606833,2249,0,0.277035005
DXXPEBMD,0,7,0,0.058567888,0.008365522,16479,-0.016200952,Lumber Pelvis BMD (g/cm^2),0.342744852,0.000606833,2602,0,0.143165947
DXXTRFAT,0,7,0,4.81E-05,0.004254178,16479,0.018967261,Trunk Fat (g),0.342744852,0.000606833,15954,1,0.00046701
LBD199,0,23,0,0.957449091,0.017435177,2814,0.000941984,PCB199 (ng/g),0.803742734,0.00355366,892,0,0.987913773
LBDEONO,0,5,0,0.746534532,0.010215372,17696,0.003320405,Eosinophils number,0.189757438,0.000565099,28,0,0.864408405
LBDHDD,0,4,0,1.90E-06,0.012502464,9071,-0.082789448,Direct HDL-Cholesterol (mg/dL),0.260723009,0.001102414,116,1,3.13E-05
LBDHDL,0,4,0,2.70E-09,0.010949101,12965,-0.08734734,Direct HDL-Cholesterol (mg/dL),0.245518216,0.000771307,114,1,1.11E-07
LBDLDL,0,4,0,0.288045307,0.014072807,8081,-0.015115398,LDL-cholesterol (mg/dL),0.675507547,0.001237471,229,0,0.450184496
LBDLYMNO,0,5,0,0.044714906,0.00903268,17696,0.018608714,Lymphocyte number,0.189757438,0.000565099,85,0,0.116188339
LBDMONO,0,5,0,0.076259281,0.010078004,17696,0.018252173,Monocyte number,0.189757438,0.000565099,26,0,0.171194305
LBDNENO,0,5,0,2.23E-05,0.007461316,17696,0.034982042,Segmented neutrophils num (1000 cell/uL),0.189757438,0.000565099,148,1,0.000262993
LBDPCT,0,4,0,0.011686809,0.010905622,11836,-0.028568005,Transferrin saturation (%),0.454983845,0.00084488,660,1,0.044800869
LBX028,0,23,0,0.467777056,0.023511875,2398,-0.017421365,PCB28 (ng/g),0.815054513,0.004170142,598,0,0.640524599
LBX052,0,23,0,0.201890226,0.024050807,3650,0.031298381,PCB52 (ng/g),0.828246482,0.002739726,477,0,0.350651445
LBX066,0,23,0,0.585423354,0.017048927,3990,-0.009389261,PCB66 (ng/g),0.804697038,0.002506266,374,0,0.723556954
LBX074,0,23,0,0.734768297,0.011024211,4012,-0.003765664,PCB74 (ng/g),0.803090664,0.002492522,999,0,0.859835241
LBX087,0,23,0,0.300030386,0.021772691,2836,0.02316499,PCB87 (ng/g),0.801994235,0.003526093,220,0,0.463179653
